screen_name,created_since,favourites_count,followers_count,friends_count,listed_count,statuses_count
BernardMarr,3306,6984,115258,22122,4594,30591
annyfalkonerth,3170,944,75,72,0,240
diegoalvarado,2853,2,66,390,1,0
dabautistac,3005,1535,878,2889,6,647
DigitalFoneTNF,1383,1110,6343,6513,68,4198
Liliana01758166,50,0,0,25,0,0
ChimueloPower,1365,61,902,1586,0,248
hapunetworks,139,0,0,3,0,0
ruedaferney,2547,921,35,161,0,54
arodrigueze_,2992,4357,327,1256,12,1676
guajaro,3506,147,171,188,5,237
rod_and_,170,2334,58,414,0,387
CarlosEscanoV,3476,10501,1066,1584,8,28267
Amanda_Diaz_R,426,173,24,261,1,217
sorel_de_brest,3122,2181,122,772,2,2660
felipesantos0o9,2979,4329,443,533,2,5818
magedmagdy07,3155,286,779,1404,7,1417
stksnstns,59,3,3,128,0,1
alllberione,2766,5,4,242,0,17
DevNetCreate,736,8012,2718,2252,55,1973
martintelefont,1611,952,2192,5155,33,1058
qimin_18,167,0,0,3,0,3
sam_dunes,1633,3472,118,262,0,2493
PapelJess,3454,43006,327,344,3,4780
FreddyDoesIT,168,1,0,12,0,7
ConMasGarra,2854,1223,599,1226,1,1854
davidychen1,1181,13,18,175,1,5
MeganWa45360028,32,0,0,2,0,0
TeamDigitech,669,3112,329,2044,1,5465
Arq_LeonardoAc,2540,181,72,1220,0,133
rohan_chaudhury,908,0,29,688,0,3
Olivia_Fern19,193,201,173,267,0,123
anamariasosam,2662,392,665,1128,17,787
ridikperezd,3499,965,44,92,1,48
ZaksViz,485,7594,789,865,17,741
Micheld47650391,84,0,12,668,0,7
Ceezar89,3443,39,9,109,0,50
jesse_vig,3575,75,734,2685,13,51
quintasmendes,3590,33,178,331,14,58
EddyGiovanniRo1,302,27,0,97,0,0
juleneperdomo,3494,1446,138,560,0,743
Rodo_Huertas,3405,1177,140,573,2,1469
tobybarnes,3995,12313,3260,2177,165,37330
orlandxrf,3142,1055,103,443,3,426
camediala,2152,1231,47,696,1,24
serguzes,2757,3538,2693,3439,23,4651
jcalatrava,3169,30,132,827,14,299
_btanmay,2840,234,399,732,15,1735
ajmp0691,1735,1451,29,251,0,855
k1ug3,3690,464641,1807,3718,101,144051
sandipanh05,1639,76,44,942,0,59
voxmenthe,3476,2077,614,5004,17,456
alanponcerod,3180,1843,67,788,3,544
ai_linkin,78,13,83,200,0,197
RobbieJFrye,2397,6628,1210,2147,82,7149
ITRuginski,2407,674,312,825,10,97
RiveraPrieto,3178,1239,24873,24957,40,11937
leonatns,981,7,5,66,0,5
tipsder,563,1,466,15,12,296
AbuFaris_4,2233,21,14,339,0,87
Thienthanh_le,889,4744,56,661,1,1286
HarryCTorres,310,0,2,31,0,8
mariawidmer,2173,377,467,870,22,107
EnrikeLopez,3448,24690,3595,4656,2542,51988
jsparadacelis,1285,2396,98,718,2,1172
W_R_Chase,290,1798,228,506,5,651
montsehid,2939,530,627,206,36,192
jrodasch,3591,211,589,2017,16,92
2VERO,3562,7884,629,746,145,4939
agbales,3444,1605,1480,3537,34,802
nadiafank,3027,1617,557,958,62,1208
JuanOchoaSa,1716,51,84,869,0,49
vaibhav13053009,908,1,5,26,0,0
p_humm,2679,39145,2238,2338,170,36783
AnnUJackson,1075,7471,3420,2066,138,2776
sureshvenugopal,3429,0,6,27,0,2
DreaBatch,2298,37,39,104,0,19
SimonBeaumont04,1029,3748,1959,786,54,3599
acrahen,3601,17314,4345,731,107,6670
AraGee9,487,21,2,69,0,1
caromarink,3485,184,220,340,0,220
jofish,4436,682,2237,755,99,1053
yfelizzola,2526,66,123,155,5,464
elpais_retina,1296,671,20208,485,668,9487
leslysandra,3478,25560,1617,4855,37,7481
cabralita,4184,6017,10567,7475,626,16822
EdwinBohorquezA,3212,43,2639,706,56,5550
darioingiusto,3920,1644,1181,3245,54,2499
Lamitai,3103,975,227,478,2,245
diana_jimeno,3603,3791,450,795,31,3096
shan_gsd,645,5354,376,492,6,649
JPaulCastell,2673,399,73,321,4,184
Juan_AlcarazS,3437,7213,2154,710,31,9488
MeDicenFito,3230,16596,1129,2681,21,11389
CarlosA80914807,141,0,0,1,0,1
AnitaRui2,2584,1202,467,2618,9,1350
nataliavivas,4397,21834,6806,1856,456,48712
ales9000,3520,1299,491,405,29,793
TamaraMcCleary,1846,118580,298698,222402,8444,93408
rbarbagelata,2176,369,113,630,0,113
MiguelAndresFL,3236,2198,219,644,1,1021
spmejiar,1984,64,29,241,0,38
esteban8am,3502,34,49,75,6,130
jdreyespaez,2406,375,536,839,24,841
wsfajardo,3076,16,74,183,0,503
muribecastro,2905,1469,217,540,3,828
maxseans,3428,2186,247,2295,1,1069
ectello32,2212,86,74,323,0,200
betancur,3922,246,2789,2181,232,24846
Ramirez01Ramrez,2019,20,205,712,15,1563
Sandraortegafer,2839,25,63,89,3,34
KevinAlexisGar4,2520,86,187,218,1,109
BabakBadnava,1898,1575,55,345,0,60
wzr_9,702,22,7,93,0,530
tatianareyesc,3353,3530,309,1794,4,1119
nataliapizac,3870,1078,1220,991,27,3298
PedroCanoLATAM,2161,2522,211,415,33,1524
Cundinamarcatw,2589,755,3756,1839,24,1181
producTICvidad,3302,1079,549,402,21,4394
gregoriopatino,3577,21165,620,622,341,24953
Camohe90,3355,110,172,357,1,308
edusuramerica,1961,256,211,433,1,512
_carlosherrera,3419,8408,1855,4992,59,10464
wdaza,3957,53419,1852,3946,122,104918
YesikFernandezM,3036,417,252,720,5,422
shumymi,3199,2919,244,290,17,2342
Tata_FCM,2448,335,101,454,0,1613
cristhiancho,3521,109,61,224,1,92
juancguerrac,3191,1072,276,405,15,1655
andresovalle8,2817,4249,335,2932,63,3734
MauricioJaramil,3734,57220,63047,7081,1453,102136
apacu22,3035,1243,270,914,13,17905
IvanOntibon,1941,2,21,25,0,12
JohnRios0510,737,3566,48,349,1,375
Desvanecida,3314,2407,122,197,6,4133
jcgarciaotero,3492,81,106,195,1,177
BryanLoaizaV,2842,55,76,295,0,45
PauG_13,3414,6716,871,543,106,9177
Paula16755978,519,8,15,42,0,4
AGD1972,2905,438,51,292,0,689
joannaprieto,3499,14557,12605,6283,527,48189
OscarFalla1,2550,41,18,20,0,49
andresposadap,2608,3,10,60,0,54
marcelaosorio24,3497,31,1874,577,37,3564
AdrianaMGutierr,2859,2174,1685,585,20,2410
smart_keralty,2796,9,76,210,1,23
mafeforn,2434,78,36,287,0,209
jlamus,3022,232,242,325,1,705
Lu_Pedraza,3479,871,679,1181,16,6696
JohnJLache,2394,506,85,518,1,520
maurovelasquez,3825,286,310,587,7,1391
hfortich,3081,1505,65,164,4,1612
BCrissien,2541,1513,582,346,12,701
nachomejia64,2375,128,24,131,1,57
angelmusikal,2633,796,648,735,3,2716
elsapoylaestaca,2955,434,89,176,3,1609
AMARQUEZM80,3105,31,39,99,0,34
paulaperezg,3270,25,123,186,4,157
JhonFon70032530,773,0,1,9,0,3
juanpablorocha,3648,870,1455,967,34,3095
Esmevelandia,2827,653,164,352,0,333
Mateoval18,2591,2750,201,363,1,6201
DanielaGalindoB,3182,468,315,116,11,582
apmayorg25,2614,224,41,145,1,368
raigohead,3934,8113,5719,2500,204,40270
augustomorenoco,2786,4027,1398,897,36,6702
JuanDaCastano,1666,783,454,237,5,741
chapulin_bog,291,342,4,46,0,156
