__seqId,animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class,x,y
0,aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Mammal,2.641937220183966,-2.8851190245209732
1,antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal,4.506624765273723,-1.4033569903742802
2,bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish,-10.092205286543367,2.44936714114984
3,bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Mammal,2.641937220183966,-2.885119024520974
4,boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,3.4883562856930532,-2.3692652031034465
5,buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal,4.506624765273723,-1.4033569903742802
6,calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal,4.0787496386175555,-0.3040255825854645
7,carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,Fish,-10.940514454064145,2.9346533648696886
8,catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish,-10.092205286543367,2.4493671411498394
9,cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,Mammal,5.32492759637374,0.006251113690431775
10,cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal,3.4883562856930532,-2.3692652031034465
11,chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird,-2.8333762109417013,4.149254425357572
12,chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish,-10.092205286543367,2.44936714114984
13,clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Invertebrate,-9.163023249433177,3.9508344359346106
14,crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,Invertebrate,8.181987637633089,-4.972738720929874
15,crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Invertebrate,9.297199298938125,-5.0082746716585
16,crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Bird,-4.182238273853045,4.337609285716796
17,deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal,4.506624759743304,-1.403356987962523
18,dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish,-10.154804991550208,1.7644455552710065
19,dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mammal,-9.441335502190048,1.0454810952192206
20,dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird,-2.8334024324030977,4.14927329627869
21,duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,Bird,-3.749229856468204,3.7348964048382896
22,elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal,4.389530489107348,-1.3668936877319953
23,flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,Bird,-3.459995816885771,5.1069699979734455
