clase,probclase1,probclase2,probclase3,Country,L1Name,L2Namev2,BECTUAREAL2,BECCVPTCHAREAL2,BECAWMNSHPINDXL2,BECAWMNNNGHL2,BECEFFMESHSIZEL2,BECAWEDGDENSL2,BECPOPDENSADJL2,BECPRSBRTL2,BECPRSSUBWAYL2,BECADCRCTYAVGL2,BECADINTDENSL2,BECADSTTDENSL2,BECURBTRVDELAYINDEXL2
2,4.36E-13,0.999865712,0.00013,Argentina,Bahia Blanca,Bahía Blanca,6708.9607,1381.9916,5.1337,76.6491,77.6599,0.420827765,2283.536,0,0,1.032761004,3.672485192,939.2877988,0.104628571
1,0.999991912,0,0.00001,Argentina,Buenos Aires,CABA - Comuna 12,1557.18,0,1.4735,,1557.18,14.9886333,12861.96,1,1,1.010627003,102.3765349,18590.83084,0.168965319
1,0.999638135,0,0.00036,Argentina,Buenos Aires,CABA - Comuna 13,1367.6403,345.3484,2.5395,60.0462,1264.0834,24.73952673,16263.11,1,1,1.026108492,90.57145277,16060.25921,0.240852049
1,0.781548255,0,0.21845,Argentina,Buenos Aires,CABA - Comuna 4,2108.7,263.3112,2.2122,67.1673,1990.2022,18.11935514,9820.085,1,1,1.027100945,79.57741792,14502.01455,0.15641957
1,0.999997525,1.24E-270,0.00000,Argentina,Buenos Aires,CABA - Comuna 6,684.9,0,1.2914,,684.9,19.79851073,25431.3,0,1,1.00576424,83.14704093,15379.25856,0.248182695
1,0.99997752,0,0.00002,Argentina,Buenos Aires,CABA - Comuna 7,1177.7402,243.5522,2.145,60.0694,1106.3997,23.27057743,17257.04,1,1,1.016293768,103.8948996,18143.37746,0.219033252
1,0.955454865,0,0.04455,Argentina,Buenos Aires,CABA - Comuna 14,1515.5096,314.2252,2.15,60.0138,1395.209,18.02158557,15438.78,1,1,1.025876913,74.45866374,12662.18585,0.140513822
1,1,1.11E-298,0.00000,Argentina,Buenos Aires,CABA - Comuna 2,615.06,141.3282,2.4513,108.1727,599.2624,30.90971134,25879.45,0,1,1.035454537,66.47071446,13214.29022,0.245912405
1,0.999999536,6.68E-264,0.00000,Argentina,Buenos Aires,CABA - Comuna 5,666.36,0,1.3815,,666.36,21.51989915,25234.95,1,1,1.000975768,74.59208672,15291.61477,0.250244869
1,0.999985189,0,0.00001,Argentina,Buenos Aires,CABA - Comuna 15,1432.98,0,1.5336,,1432.98,16.24586526,13438.92,1,1,1.017602551,101.4819464,17379.36768,0.141421955
1,0.999999751,2.49E-241,0.00000,Argentina,Buenos Aires,CABA - Comuna 3,638.01,0,1.1361,,638.01,18.05614332,29451.62,1,1,1.002154226,73.42152953,15797.16671,0.323018447
1,0.99516411,0,0.00484,Argentina,Buenos Aires,CABA - Comuna 1,1437.84,280.2386,2.3688,60.0248,1120.3671,19.10730475,14483.96,1,1,1.02125757,84.59737057,14366.53879,0.311711003
3,2.13E-12,0,1.00000,Argentina,Buenos Aires,Almirante Brown,8408.6136,833.9013,4.53,61.2989,5365.4112,11.44213811,5768.712,0,0,1.006893372,62.33474636,12149.78104,0.145264095
3,4.23E-05,0,0.99996,Argentina,Buenos Aires,Avellaneda,4489.0208,548.259,3.0293,60.571,3417.2147,13.26032658,7282.001,0,0,1.018795551,71.20695733,13464.96509,0.173328571
3,1.69E-05,1.05E-268,0.99998,Argentina,Buenos Aires,Berazategui,5767.2032,1185.6807,2.4932,62.5616,1215.63,2.689385801,4116.967,0,0,1.024248342,27.32568739,5823.533953,0.139407556
3,5.31E-10,7.53E-11,1.00000,Argentina,Buenos Aires,Berisso,1854.6264,807.3587,5.8011,63.2306,217.3327,6.328717516,3078.382,0,0,1.028180167,13.67277505,3027.78068,0.116238598
1,0.999994115,0,0.00001,Argentina,Buenos Aires,CABA - Comuna 10,1239.3,0,1.6596,,1239.3,18.88162672,13329.63,1,0,1.0083592,110.5191465,18956.26184,0.121914443
1,0.9999922,0,0.00001,Argentina,Buenos Aires,CABA - Comuna 11,1397.7,0,1.772,,1397.7,19.01695643,13350.67,1,0,1.002768048,106.9134371,18807.93031,0.13792109
3,0.180094067,3.06E-147,0.81991,Argentina,Buenos Aires,CABA - Comuna 8,1362.2361,702.9847,2.5488,60.4632,465.6634,11.3636859,9679.676,1,0,1.026387065,73.20766764,13770.14921,0.138662948
1,0.999918761,0,0.00008,Argentina,Buenos Aires,CABA - Comuna 9,1555.29,172.9378,1.775,84.8549,1531.4872,17.68403929,9813.187,1,0,1.004996813,102.3171975,18322.67866,0.157616857
2,4.88E-11,1,0.00000,Argentina,Buenos Aires,Cañuelas,1365.2892,1022.9597,3.7226,107.5962,4.1791,0.185779731,873.8442,0,0,1.041872356,1.87801643,868.6423311,0.041000433
3,1.63E-07,0.004733914,0.99527,Argentina,Buenos Aires,Ensenada,1572.0315,720.9371,4.6192,69.3673,121.0411,4.66503808,1833.293,0,0,1.042656256,15.52798048,3528.034128,0.082195181
3,2.37E-07,3.05E-29,1.00000,Argentina,Buenos Aires,Escobar,5762.3576,1373.3285,3.9045,67.364,415.0117,1.51989565,2282.701,0,0,1.032900844,18.45431133,3964.023375,0.131431164
3,1.65E-07,0,1.00000,Argentina,Buenos Aires,Esteban Echeverría,5648.1264,1030.3837,4.278,60.9738,2239.0606,9.219268511,4141.404,0,0,1.016068253,42.18724608,8779.852389,0.171722536
2,1.37E-10,1,0.00000,Argentina,Buenos Aires,Exaltación de la Cruz,1041.126,776.6367,3.226,114.1588,1.434,0.113774133,358.4778,0,0,1.041469751,2.805421405,1236.794127,0.017417201
